"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
"Custom Ceramic Engaged Ring Tray For Mr and Mrs Gift, Personalized Trinket Dish For Wedding Date Gifts, Customized Jewelry Dish With Name",BrightBizNeons,+35%,$15.215,1.907,4.3,$8,"Mar 18, 2026",420,3.381,93.885,physical,4.9,137,N/A,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,5.866,"May 23, 2024",US,4,Ring Dishes,63
"Custom Pet Wedding Cocktail Napkins, Personalized Pet Portrait for 1–3 Dogs or Cats, Colorful Wedding Party Supplies",BoutiqueByJyce,+1%,$20.603,1.863,3.2,$11,"Feb 9, 2026",1.085,12.334,182.619,physical,5.0,116,1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,6.298,"Sep 25, 2024",US,5,Napkins,7
"Money Drawing & Abundance Spell | Same Day Powerful Casting for Wealth, Debt Clearing, Cash Flow",PerenOracle,+154%,$16.130,1.794,8.4,$9,"May 3, 2026",165,1.086,30.019,-,4.8,96,3,13,No,Yes,Yes,1,Yes,11,made_to_order,i_did,No,10.474,"Apr 23, 2026",TR,2,Psychic Readings,8
Personalised Birth Flower Trinket Dish/ Custom Watercolor Flower Ring Dish/ Christmas Gifts/ Wedding Bridesmaid Gift/ Birthday Jewelry Dish,PieDesignByWen,-31%,$11.291,1.737,5.3,$7,"Aug 20, 2025",2.436,18.053,571.052,physical,4.8,139,-1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,177.930,"Oct 17, 2018",CN,11,Ring Dishes,100
"Front And Back Custom Shirt, Custom Shirt, Inspired Shirt, Custom Shirt, Inspired Text, Custom Text Shirt, Front and Back Personalized Shirt",custombychin,+33%,$25.160,1.701,9.1,$15,"Apr 10, 2026",429,592,41.554,physical,4.8,140,3,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,47.668,"Jun 28, 2024",US,3,T-shirts,139
"Personalized Name Gift Bags, Ribbon Tie Rope Gift Bags, Thank You Gift Bags, Birthday Gift Bags, Wedding Gift Bags, Bridesmaid Gift Bags",DoCraDesign,-11%,$3.256,1.628,4.2,$2,"Nov 14, 2024",1.842,29.876,527.307,physical,4.9,136,N/A,13,No,Yes,Yes,5,Yes,0,made_to_order,i_did,No,46.545,"Sep 24, 2024",US,20,Gift Bags,41
Personalized Handmade Basket • Baby Shower Gift • Toy Organizer • I-Cord Knitting Craft,TieDapperStudio,-14%,$39.004,1.608,3.8,$24,"May 22, 2025",4.248,24.749,853.513,physical,4.8,87,2,13,No,Yes,Yes,5,Yes,0,made_to_order,i_did,No,89.597,"Aug 11, 2023",US,13,Baskets,86
"Gift for Teacher,Teacher Gifts,Rainbow & bee keying,Nursery teacher gift,Teacher Gift,Thank you gift for Nursery teacher,Teaching assistant",JaynegiftDesigns,+482%,$9.424,1.603,3.9,$6,"Jun 5, 2025",1.013,5.187,188.415,physical,5.0,139,-1,0,No,No,Yes,2,Yes,0,made_to_order,i_did,No,49.946,"Apr 20, 2023",GB,13,Keychains,51
"All Plants Are Edible Some Only Once Comfort Colors Shirt, Funny Gardening Tee, Dark Botanical Graphic Tshirt, Gothic Plant Lover Shirt",VibeCraftedsStudio,+97%,$23.243,1.393,5.9,$17,"May 8, 2026",92,3.331,35.489,physical,5.0,135,4,13,No,No,Yes,1,No,654,made_to_order,i_did,No,29.971,"Mar 24, 2025",BR,2,T-shirts,83
Personalized Baby Gift Basket Custom 3D Name Woven Nursery Storage Newborn Shower Present,CradleArtStore,+7%,$57.043,1.383,4.0,$41,"Jul 3, 2025",3.065,14.265,556.421,physical,4.8,89,N/A,13,No,Yes,Yes,6,No,0,made_to_order,i_did,No,43.229,"Apr 18, 2024",US,12,Baskets,100
