"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
THE METATRONIC SHADOW — Forbidden Architect Current Attunement + Charged Digital Artwork,TempleOfAscensions,0%,$2.661,5,4.0,$541,"Nov 17, 2025",3,13,367,download,5.0,88,-1,0,No,No,No,N/A,Yes,702,made_to_order,i_did,No,197,"Aug 22, 2025",AU,7,Tarot Readings & Divinations,53
"Stress-Free 500+ Page Wedding Planner Bundle, Wedding Binder, Wedding Planner Book, Printable Wedding Planner, Digital Wedding Planner",IvyRepublicDesigns,-20%,$2.623,45,2.3,$58,"Jun 23, 2025",27,530,13.352,download,4.8,134,N/A,13,No,No,No,N/A,Yes,37,2007_2009,i_did,No,1.516,"Jun 21, 2025",US,12,Templates,7
Small Business Bundle Bookkeeping Inventory Tracker Order Tracker Product Handmade Pricing Calculator Smart Bill Calendar Google Sheet Excel,PrioriDigitalStudio,-25%,$2.603,92,2.8,$28,"Dec 10, 2023",605,11.721,331.222,download,4.8,140,3,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,166.351,"Mar 18, 2023",CA,31,Planner Templates,13
2026 Wall Calendar: Portrait Year-at-a-Glance Planner (Printable PDF),HypePaper,0%,$2.585,12,9.4,$220,"Apr 7, 2025",18,89,2.249,download,5.0,69,N/A,13,No,No,No,N/A,Yes,52,2020_2025,i_did,No,1.903,"May 25, 2023",TR,15,Wall Calendars,6
"Co-Parenting Documentation Bundle | Custody Calendar, Child Support & Expense Tracker | Visitation Log and Parenting Time Planner",TheTreasuredTreetop,+150%,$2.533,133,6.5,$19,"Sep 27, 2025",48,251,9.853,download,4.7,129,-1,13,No,No,No,N/A,Yes,70,2007_2009,i_did,No,2.094,"Feb 01, 2025",US,9,Planner Templates,23
Travel Planner Travel Itinerary Template Trip Planner Google Sheets Vacation Planner Holiday Budget Spreadsheet Checklist Packing List Guide,ExclusiveDesignLab,-50%,$2.460,103,2.5,$24,"Aug 12, 2025",64,1.198,44.053,download,4.5,140,-1,13,No,No,No,N/A,No,426,2007_2009,i_did,No,193.855,"Jan 14, 2023",IN,11,Planner Templates,2
Digital Planner Whole Shop Bundle iPad Android Journal Notebook Stickers Budget Meal Fitness Goals Goodnotes Notability Hyperlinked Set,LetzPlan,+200%,$2.455,53,5.0,$46,"Jun 8, 2025",25,310,8.839,download,4.5,135,N/A,13,No,No,No,N/A,Yes,330,2007_2009,i_did,No,11.744,"Oct 10, 2022",US,13,Planner Templates,13
"Sunflower Wall Organizer Crochet Pattern PDF, Hanging Storage Pocket, Boho Home Decor, Nursery Organizer, Crochet Gift, Easy DIY Pattern",CrochetNestX,+71%,$2.403,309,3.0,$8,"May 9, 2026",57,2.387,16.503,download,4.8,136,3,13,No,No,No,N/A,Yes,270,2020_2026,i_did,Yes,5.922,"Sep 11, 2025",US,2,Patterns & Blueprints,22
"Full Shop Access for reMarkable Paper Pro Move Collection: All-In-One Bundle With Calendars, Planners, Notebooks, Trackers, Templates & More",StudioPiksels,0%,$2.340,24,2.7,$97,"Sep 19, 2025",36,401,16.086,download,4.4,140,1,13,No,No,No,N/A,No,489,2020_2026,i_did,No,20.896,"Jun 01, 2024",US,9,Planner Templates,10
Minimal Squarespace Website Template | 7.1 Portfolio Theme for Architects + Creatives,TheSoftVoice,0%,$2.311,11,1.3,$216,"Sep 26, 2025",4,204,3.207,download,5.0,85,-1,13,No,Yes,No,N/A,Yes,20,2020_2026,i_did,No,556,"Oct 08, 2024",TR,9,Website Templates,2
"Shopify Theme Template,Groovy pink Shopify Boutique theme with canva banners,Neutral Website,Shopify Banner Template with Shopify Planner",FlickDesigners,0%,$2.293,23,2.3,$100,"Oct 5, 2024",8,269,4.080,download,4.6,137,6,13,No,No,No,N/A,Yes,101,2006_2009,i_did,No,688,"Jan 06, 2023",US,21,Website Templates,13
"Ultimate Notion Life Planner Template – All-In-One Second Brain Dashboard (Digital Download, PLR & MRR License Included)",DIGIstoreCollections,+100%,$2.244,22,0.7,$100,"Feb 1, 2026",5,242,8.151,download,5.0,120,3,13,No,No,No,N/A,Yes,95,2020_2026,i_did,No,1.515,"Apr 14, 2024",UA,5,Planner Templates,4
"Custom Full Wrap Book Cover Design, eBook Cover, Personalized Book Cover Art, Book Cover Designer, Amazon KDP, Self Publishing, Professional",PrintoPunto,0%,$2.234,12,14.3,$181,"Dec 5, 2025",5,23,431,download,5.0,140,3,13,No,Yes,No,N/A,Yes,277,made_to_order,i_did,No,852,"Mar 28, 2025",TR,7,Digital Prints,20
"Notion Ultimate Life Planner Template, Full Life Second Brain Database",PineberryPlanner,0%,$2.174,75,0.8,$29,"Dec 17, 2025",19,933,29.706,download,5.0,70,2,13,No,No,No,N/A,Yes,32,2007_2009,i_did,No,19.753,"Aug 12, 2019",US,6,Calendars & Planners,0
